RESP,TC1,TT1,TC2,TT2,CHOICE
1,4,35,8,25,2
1,4,35,8,30,2
1,6,40,7,20,2
1,5,30,6,25,2
1,5,40,7,20,1
2,4,35,8,25,1
2,4,35,8,30,1
2,6,40,7,20,2
2,5,30,6,25,2
2,5,40,7,20,2
3,4,35,8,25,1
3,4,35,8,30,1
3,6,40,7,20,2
3,5,30,6,25,2
3,5,40,7,20,2
4,4,35,8,25,1
4,4,35,8,30,2
4,6,40,7,20,2
4,5,30,6,25,1
4,5,40,7,20,2
5,4,35,8,25,2
5,4,35,8,30,1
5,6,40,7,20,2
5,5,30,6,25,1
5,5,40,7,20,2
6,4,35,8,25,2
6,4,35,8,30,1
6,6,40,7,20,2
6,5,30,6,25,2
6,5,40,7,20,1
7,4,35,8,25,2
7,4,35,8,30,1
7,6,40,7,20,2
7,5,30,6,25,2
7,5,40,7,20,2
8,4,35,8,25,2
8,4,35,8,30,1
8,6,40,7,20,2
8,5,30,6,25,2
8,5,40,7,20,2
9,4,35,8,25,1
9,4,35,8,30,1
9,6,40,7,20,2
9,5,30,6,25,2
9,5,40,7,20,2
10,4,35,8,25,2
10,4,35,8,30,2
10,6,40,7,20,2
10,5,30,6,25,2
10,5,40,7,20,2
11,4,35,8,25,2
11,4,35,8,30,2
11,6,40,7,20,2
11,5,30,6,25,2
11,5,40,7,20,2
12,4,35,8,25,2
12,4,35,8,30,1
12,6,40,7,20,2
12,5,30,6,25,1
12,5,40,7,20,2
13,4,35,8,25,1
13,4,35,8,30,1
13,6,40,7,20,2
13,5,30,6,25,2
13,5,40,7,20,2
14,4,35,8,25,1
14,4,35,8,30,1
14,6,40,7,20,2
14,5,30,6,25,1
14,5,40,7,20,2
15,4,35,8,25,2
15,4,35,8,30,1
15,6,40,7,20,2
15,5,30,6,25,2
15,5,40,7,20,2
16,4,35,8,25,2
16,4,35,8,30,2
16,6,40,7,20,1
16,5,30,6,25,2
16,5,40,7,20,1
17,4,35,8,25,2
17,4,35,8,30,2
17,6,40,7,20,2
17,5,30,6,25,1
17,5,40,7,20,2
18,4,35,8,25,1
18,4,35,8,30,2
18,6,40,7,20,2
18,5,30,6,25,2
18,5,40,7,20,2
19,4,35,8,25,1
19,4,35,8,30,2
19,6,40,7,20,2
19,5,30,6,25,2
19,5,40,7,20,2
20,4,35,8,25,2
20,4,35,8,30,2
20,6,40,7,20,2
20,5,30,6,25,1
20,5,40,7,20,2
21,4,35,8,25,1
21,4,35,8,30,1
21,6,40,7,20,2
21,5,30,6,25,1
21,5,40,7,20,2
22,4,35,8,25,2
22,4,35,8,30,1
22,6,40,7,20,2
22,5,30,6,25,1
22,5,40,7,20,2
23,4,35,8,25,1
23,4,35,8,30,1
23,6,40,7,20,2
23,5,30,6,25,2
23,5,40,7,20,2
24,4,35,8,25,2
24,4,35,8,30,2
24,6,40,7,20,2
24,5,30,6,25,2
24,5,40,7,20,2
25,4,35,8,25,2
25,4,35,8,30,1
25,6,40,7,20,2
25,5,30,6,25,1
25,5,40,7,20,2
26,4,35,8,25,2
26,4,35,8,30,2
26,6,40,7,20,2
26,5,30,6,25,1
26,5,40,7,20,2
27,4,35,8,25,1
27,4,35,8,30,1
27,6,40,7,20,2
27,5,30,6,25,2
27,5,40,7,20,2
28,4,35,8,25,2
28,4,35,8,30,1
28,6,40,7,20,2
28,5,30,6,25,2
28,5,40,7,20,2
29,4,35,8,25,2
29,4,35,8,30,1
29,6,40,7,20,2
29,5,30,6,25,2
29,5,40,7,20,2
30,4,35,8,25,1
30,4,35,8,30,1
30,6,40,7,20,2
30,5,30,6,25,1
30,5,40,7,20,2
31,4,35,8,25,2
31,4,35,8,30,1
31,6,40,7,20,2
31,5,30,6,25,2
